Word,Count
WebApiManager.request_mode.LogIN,1
\"\ReplyID"\:\,1
status.loggedIn),1
\"\NickName"\:\,1
(networkInfo,1
http://hc.apache.org/httpcomponents-client-ga/tutorial/html/connmgmt.html#d4e506,1
\4,\,1
\ProgressDialog.show(this,\,1
\Password,\,1
Retail,1
String[],1
requires,1
vouchers,1
CardTypeID),1
\"\Gender"\\,1
urlToSend,1
this.AgeGroup,1
false;,1
result;,1
or,1
respective,1
contents,1
\Email,\,1
Pass,1
this,1
\"\testMessageNotification"\\,1
skip(parser);,1
JSONObject(urls[1]);,1
this.testMessageNotification,1
\if(currentActivity.getClass().getSimpleName().equals("\CheckInActivity"\))\,1
time,1
\Gender,\,1
because,1
ID,1
SignUp,1
\Province,\,1
\"\Email"\\,1
Edit,1
always,1
